Date,USD_INR,GBP_INR,EUR_INR,JPY_INR,AED_INR,IDR_INR
2014-05-02,60.225,101.6839,83.459,58.77,,
2014-05-05,60.0475,101.3181,83.3423,58.88,,
2014-05-06,60.202,101.6752,83.5532,59.0,,
2014-05-07,60.0399,101.9658,83.584,59.17,,
2014-05-08,59.9913,101.7512,83.4805,58.96,,
2014-05-09,60.054,101.6534,83.0738,59.06,,
2014-05-12,59.729,100.8166,82.2235,58.6,,
2014-05-13,59.8773,100.9831,82.4035,58.55,,
2014-05-15,59.4745,99.7031,81.5526,58.34,,
2014-05-16,58.861,98.8217,80.7166,57.97,,
2014-05-19,58.426,98.2842,80.117,57.67,,
2014-05-20,58.7455,98.7747,80.5261,57.93,,
2014-05-21,58.7725,99.0199,80.5684,58.09,,
2014-05-22,58.574,98.8788,80.05,57.62,,
2014-05-23,58.483,98.6725,79.8058,57.57,,
2014-05-26,58.5873,98.661,79.814,57.48,,
2014-05-27,59.0585,99.614,80.6048,57.97,,
2014-05-28,59.077,99.2021,80.53,57.98,,
2014-05-29,58.8415,98.4065,80.0315,57.85,,
2014-05-30,59.0335,98.9106,80.335,58.1,,
2014-06-02,59.1385,99.0215,80.6285,58.01,,
2014-06-03,59.2125,99.1691,80.5645,57.88,,
2014-06-04,59.336,99.1801,80.764,57.76,,
2014-06-05,59.2973,99.3408,80.6999,57.83,,
2014-06-06,59.197,99.5161,80.8345,57.85,,
2014-06-09,59.0605,99.3457,80.616,57.65,,
2014-06-10,59.2647,99.6299,80.5934,57.95,,
2014-06-11,59.325,99.4168,80.32,57.99,,
2014-06-12,59.3283,99.6834,80.3036,58.13,,
2014-06-13,59.4783,100.9347,80.712,58.28,,
2014-06-16,60.0059,101.998,81.2541,58.96,,
2014-06-17,60.368,102.4807,81.8665,59.21,,
2014-06-18,60.124,102.0004,81.431,58.81,,
2014-06-19,60.0031,102.0473,81.7106,58.94,,
2014-06-20,60.2785,102.7688,82.12,59.17,,
2014-06-23,60.1927,102.5623,81.9065,59.05,,
2014-06-24,60.105,102.3228,81.752,58.94,,
2014-06-25,60.2785,102.2806,82.0475,59.15,,
2014-06-26,60.1618,102.2329,82.044,59.12,,
2014-06-27,60.0958,102.3972,81.882,59.27,,
2014-06-30,60.0933,102.3269,82.0094,59.28,,
2014-07-01,60.137,102.8343,82.283,59.27,,
2014-07-02,59.9745,102.8982,82.022,59.05,,
2014-07-03,59.7225,102.4539,81.5415,58.62,,
2014-07-04,59.7939,102.6601,81.3203,58.6,,
2014-07-07,59.9455,102.7826,81.3923,58.71,,
2014-07-08,59.7968,102.42,81.3225,58.73,,
2014-07-09,59.726,102.3584,81.38,58.79,,
2014-07-10,59.875,102.5898,81.6925,59.0,,
2014-07-11,60.1855,103.1459,81.872,59.41,,
2014-07-14,60.005,102.7166,81.599,59.18,,
2014-07-15,60.2195,102.7947,81.951,59.27,,
2014-07-16,60.1903,103.1361,81.656,59.19,,
2014-07-17,60.1401,103.0019,81.334,59.25,,
2014-07-18,60.33,103.1824,81.5848,59.54,,
2014-07-21,60.1853,102.8687,81.4821,59.45,,
2014-07-22,60.236,102.865,81.4414,59.32,,
2014-07-23,60.183,102.6842,81.0305,59.34,,
2014-07-24,60.002,102.1894,80.6785,59.13,,
2014-07-25,60.1448,102.2161,81.0173,59.11,,
2014-07-28,60.1013,102.04,80.7385,59.0,,
