Month,Exports_INR_Cr,Exports_USD_Mn,Imports_INR_Cr,Imports_USD_Mn,Trade_Balance_INR_Cr,Trade_Balance_USD_Mn,NonOil_Balance_INR_Cr,NonOil_Balance_USD_Mn
1990-04-01,2480.0,1435.0,,,,,,
1990-05-01,2597.0,1496.0,,,,,,
1990-06-01,2303.0,1322.0,,,,,,
1990-07-01,2556.0,1471.0,,,,,,
1990-08-01,2583.0,1484.0,,,,,,
1990-09-01,2582.0,1447.0,,,,,,
1990-10-01,2559.0,1414.0,,,,,,
1990-11-01,2632.0,1456.0,,,,,,
1990-12-01,2920.0,1613.0,,,,,,
1991-01-01,3036.0,1660.0,,,,,,
1991-02-01,2866.0,1519.0,,,,,,
1991-03-01,3439.0,1791.0,,,,,,
1991-04-01,2977.0,1501.0,,,,,,
1991-05-01,2732.0,1330.0,,,,,,
1991-06-01,2666.0,1269.0,,,,,,
1991-07-01,3376.0,1326.0,,,,,,
1991-08-01,3645.0,1422.0,,,,,,
1991-09-01,3931.0,1518.0,,,,,,
1991-10-01,3668.0,1421.0,,,,,,
1991-11-01,3670.0,1420.0,,,,,,
1991-12-01,4117.0,1591.0,,,,,,
1992-01-01,4500.0,1732.0,,,,,,
1992-02-01,3938.0,1520.0,,,,,,
1992-03-01,4822.0,1720.0,,,,,,
1992-04-01,4009.0,1387.0,,,,,,
1992-05-01,3789.0,1327.0,,,,,,
1992-06-01,3887.0,1364.0,,,,,,
1992-07-01,4052.0,1421.0,,,,,,
1992-08-01,4519.0,1591.0,,,,,,
1992-09-01,4323.0,1523.0,,,,,,
1992-10-01,4449.0,1567.0,,,,,,
1992-11-01,4310.0,1517.0,,,,,,
1992-12-01,4274.0,1480.0,,,,,,
1993-01-01,4544.0,1566.0,,,,,,
1993-02-01,5310.0,1766.0,,,,,,
1993-03-01,6224.0,1974.0,,,,,,
1993-04-01,5616.0,1794.0,,,,,,
1993-05-01,5299.0,1691.0,,,,,,
1993-06-01,5331.0,1697.0,,,,,,
1993-07-01,5767.0,1839.0,,,,,,
1993-08-01,5458.0,1740.0,,,,,,
1993-09-01,5205.0,1659.0,,,,,,
1993-10-01,5633.0,1796.0,,,,,,
1993-11-01,5276.0,1682.0,,,,,,
1993-12-01,6027.0,1921.0,,,,,,
1994-01-01,6545.0,2087.0,,,,,,
1994-02-01,6415.0,2045.0,,,,,,
1994-03-01,7179.0,2288.0,,,,,,
1994-04-01,6368.0,2030.0,,,,,,
1994-05-01,5760.0,1836.0,,,,,,
1994-06-01,5798.0,1848.0,,,,,,
1994-07-01,5970.0,1903.0,,,,,,
1994-08-01,6810.0,2171.0,,,,,,
1994-09-01,6645.0,2118.0,,,,,,
1994-10-01,7113.0,2267.0,,,,,,
1994-11-01,6517.0,2076.0,,,,,,
1994-12-01,7384.0,2352.0,,,,,,
1995-01-01,7363.0,2347.0,,,,,,
1995-02-01,7388.0,2355.0,,,,,,
1995-03-01,9559.0,3020.0,,,,,,
1995-04-01,7833.0,2494.0,,,,,,
1995-05-01,7511.0,2391.0,,,,,,
1995-06-01,7594.0,2418.0,,,,,,
1995-07-01,7890.0,2514.0,,,,,,
1995-08-01,8135.0,2576.0,,,,,,
1995-09-01,7957.0,2396.0,,,,,,
1995-10-01,8675.0,2512.0,,,,,,
1995-11-01,9275.0,2670.0,,,,,,
