Date,Total_Reserves_INR_Cr,Total_Reserves_USD_Mn,FCA_INR_Cr,FCA_USD_Mn,Gold_INR_Cr,Gold_USD_Mn,SDR_INR_Cr,SDR_USD_Mn,IMF_INR_Cr,IMF_USD_Mn
2001-02-01,,,,,,,,,,
2001-04-06,199066.0,42689.0,186344.0,39962.0,12711.0,2725.0,11.0,2.0,,
2001-04-13,200258.0,42722.0,187501.0,39987.0,12711.0,2725.0,46.0,10.0,,
2001-04-20,200300.0,42765.0,187542.0,40030.0,12711.0,2725.0,47.0,10.0,,
2001-04-27,199817.0,42654.0,187059.0,39919.0,12711.0,2725.0,47.0,10.0,,
2001-05-04,200356.0,42782.0,187680.0,40077.0,12629.0,2695.0,47.0,10.0,,
2001-05-11,200312.0,42738.0,187637.0,40033.0,12629.0,2695.0,46.0,10.0,,
2001-05-18,201017.0,42829.0,188368.0,40130.0,12629.0,2695.0,20.0,4.0,,
2001-05-25,201034.0,42824.0,188385.0,40125.0,12629.0,2695.0,20.0,4.0,,
2001-06-01,201885.0,42912.0,188632.0,40092.0,13233.0,2816.0,20.0,4.0,,
2001-06-08,201970.0,43007.0,188717.0,40187.0,13233.0,2816.0,20.0,4.0,,
2001-06-15,202849.0,43160.0,189596.0,40340.0,13233.0,2816.0,20.0,4.0,,
2001-06-22,203444.0,43278.0,190191.0,40458.0,13233.0,2816.0,20.0,4.0,,
2001-06-29,204400.0,43455.0,191147.0,40635.0,13233.0,2816.0,20.0,4.0,,
2001-07-06,205524.0,43596.0,192341.0,40794.0,13163.0,2798.0,20.0,4.0,,
2001-07-13,205392.0,43559.0,192209.0,40757.0,13163.0,2798.0,20.0,4.0,,
2001-07-20,205441.0,43604.0,192258.0,40802.0,13163.0,2798.0,20.0,4.0,,
2001-07-27,205975.0,43682.0,192768.0,40875.0,13163.0,2798.0,44.0,9.0,,
2001-08-03,206363.0,43809.0,193249.0,41029.0,13070.0,2771.0,44.0,9.0,,
2001-08-10,207980.0,44135.0,194866.0,41355.0,13070.0,2771.0,44.0,9.0,,
2001-08-17,210164.0,44590.0,197073.0,41815.0,13070.0,2771.0,21.0,4.0,,
2001-08-24,211827.0,44951.0,198736.0,42176.0,13070.0,2771.0,21.0,4.0,,
2001-08-31,213865.0,45358.0,200561.0,42537.0,13283.0,2817.0,21.0,4.0,,
2001-09-07,214199.0,45365.0,200895.0,42544.0,13283.0,2817.0,21.0,4.0,,
2001-09-14,215872.0,45288.0,202568.0,42467.0,13283.0,2817.0,21.0,4.0,,
2001-09-21,214384.0,44704.0,201079.0,41883.0,13283.0,2817.0,22.0,4.0,,
2001-09-28,214067.0,44769.0,200763.0,41948.0,13283.0,2817.0,21.0,4.0,,
2001-10-05,215818.0,44979.0,201799.0,42050.0,13998.0,2925.0,21.0,4.0,,
2001-10-12,216745.0,45128.0,202726.0,42199.0,13998.0,2925.0,21.0,4.0,,
2001-10-19,216783.0,45137.0,202739.0,42202.0,13998.0,2925.0,46.0,10.0,,
2001-10-26,216945.0,45161.0,202901.0,42227.0,13998.0,2925.0,46.0,9.0,,
2001-11-02,218672.0,45568.0,204537.0,42621.0,14089.0,2937.0,46.0,10.0,,
2001-11-09,222158.0,46258.0,208012.0,43309.0,14089.0,2937.0,57.0,12.0,,
2001-11-16,223129.0,46469.0,209015.0,43527.0,14089.0,2937.0,25.0,5.0,,
2001-11-23,223997.0,46631.0,209883.0,43689.0,14089.0,2937.0,25.0,5.0,,
2001-11-30,225030.0,46891.0,211269.0,44024.0,13736.0,2862.0,25.0,5.0,,
2001-12-07,225417.0,47109.0,211656.0,44242.0,13736.0,2862.0,25.0,5.0,,
2001-12-14,229033.0,47837.0,215272.0,44970.0,13736.0,2862.0,25.0,5.0,,
2001-12-21,229690.0,48012.0,215929.0,45145.0,13736.0,2862.0,25.0,5.0,,
2001-12-28,232153.0,48045.0,218392.0,45178.0,13736.0,2862.0,25.0,5.0,,
2002-01-04,233254.0,48299.0,219468.0,45438.0,13761.0,2856.0,25.0,5.0,,
2002-01-11,236794.0,48927.0,223008.0,46066.0,13761.0,2856.0,25.0,5.0,,
2002-01-18,237677.0,49225.0,223891.0,46364.0,13761.0,2856.0,25.0,5.0,,
2002-01-25,238135.0,49252.0,224349.0,46391.0,13761.0,2856.0,25.0,5.0,,
2002-02-01,240553.0,49565.0,226377.0,46647.0,14151.0,2913.0,25.0,5.0,,
2002-02-08,242184.0,49766.0,228008.0,46848.0,14151.0,2913.0,25.0,5.0,,
2002-02-15,244525.0,50208.0,230324.0,47285.0,14151.0,2913.0,50.0,10.0,,
2002-02-22,245679.0,50445.0,231478.0,47522.0,14151.0,2913.0,50.0,10.0,,
2002-03-01,247398.0,50744.0,232450.0,47682.0,14898.0,3052.0,50.0,10.0,,
2002-03-01,,,,,,,,,,
2002-03-08,250775.0,51436.0,235826.0,48374.0,14898.0,3052.0,51.0,10.0,,
2002-03-15,254245.0,52189.0,239296.0,49127.0,14898.0,3052.0,51.0,10.0,,
2002-03-22,260041.0,53317.0,245093.0,50255.0,14898.0,3052.0,50.0,10.0,,
2002-03-29,264276.0,54154.0,249328.0,51092.0,14898.0,3052.0,50.0,10.0,,
2002-04-05,269478.0,55167.0,251569.0,51498.0,14868.0,3047.0,51.0,10.0,2990.0,612.0
2002-04-12,271062.0,55417.0,253141.0,51746.0,14868.0,3047.0,59.0,12.0,2994.0,612.0
2002-04-19,272234.0,55689.0,254295.0,52014.0,14868.0,3047.0,59.0,12.0,3012.0,616.0
2002-04-26,273967.0,55935.0,256007.0,52257.0,14868.0,3047.0,60.0,12.0,3032.0,619.0
2002-05-03,275471.0,56242.0,257031.0,52477.0,15333.0,3131.0,60.0,12.0,3047.0,622.0
